,answer
64,"최소로 청약하시면 보통 균등으로 1주~2주정도 받고, 나머지는 비례로 빠집니다. 비례는 많이 청약한 사람이 유리합니다. 최소 청약으로 균등배정만 노려서 1주~2주 받는 게 1주라도 배정받을 확률이 높아요. 하지만, 경쟁률에 따라 못 받으실 수 있습니다."
65,대표 주관사인 증권사가 배정받는 주식 수가 월등히 많습니다. 그래서 보통 대표주관사로 청약이 많이 몰리는 편입니다. 증거금에서 청약시 배정받은 (주식 수) * (공모 가격)은 빼고 환급받습니다. 보통 2일 후에 환불됩니다.
66,공모주 비례 배정은 각 증권사별로 물량이 다릅니다. 배정 주식 수보다 청약자가 많으면 추첨해서 줍니다. 못 받는 사람도 있습니다.
67,"공모주 배정일에 공모주가 배정되고, 자동으로 청약 수수료 2,000원이 차감됩니다. 만약 청약 수수료가 없다면 공모주 배정일 전에 2,000원을 입금해 놓으시면 공모주가 배정되기 전 자동으로 출금이 됩니다."
68,증권 계좌에 청약 수수료만큼의 돈이 추가적으로 없으시면 청약이 정상적으로 진행되지 않을 수 있습니다.
69,환불일에는 청약 증거금에서 (주당 공모가 가격) * (배정 주식수)와 청약 수수료를 제외한 금액이 환불됩니다.
70,"1주만 배정을 받으셨다면, 청약 증거금에서 1주 만큼의 가격과 청약 수수료를 제외한 금액을 환불 받으실 수 있습니다."
71,청약할 때 필요한 증거금은 주식 계좌에 넣어두시면 됩니다. 다른 계좌가 추가로 필요하지는 않습니다. 
72,중복 청약은 불가능합니다. 한 군데서 청약 진행하셔야 합니다. 
73,2개의 증권사에서 중복 청약은 불가능하십니다.
74,증권사 한 곳만 청약 가능합니다. 청약 마지막날 증권사마다 경쟁률 결정하시는 게 좋을 듯 합니다.
75,출금 한도를 푸실려면 고객센터에 전화해서 담당자와 통화를 하셔야 합니다.
76,"공모주를 청약하는 사람들 중에는 그 기업의 미래 가치를 보고 청약하는 사람들도 있고, 단순하게 빨리 팔고 빠지자라는 단타 마인드 투자자들도 있습니다."
77,청약 신청일 당일에 계좌 개설해도 청약 가능합니다. 하지만 증권사마다 다릅니다. 
78,청약 신청 후 주식 계좌로 환불 일자에 당첨된 금액 제외 후 환불이 진행됩니다.
79,청약을 신청하면 균등배정과 비례배정 둘 다 자동으로 참여가 됩니다. 따라서 한 번만 청약하시면 됩니다.
80,"비례배정을 위해 청약신청을 하셨다면, 균등배정은 자동으로 적용됩니다. 여유 있으시면 비례배정으로 넣으시고, 그렇지 않으시다면 균등배정으로 해보시는 것을 추천드립니다."
81," 증권사 배정 수량의 50%는 균등배정, 나머지 50%는 비례배정입니다. "
82,"청약을 취소하시면 바로 예수금으로 들어오고, 청약 가능한 시간이 지나면 취소 절대 불가합니다."
83,"환불일에는 처음 신청 한 계좌로 환불금이 환불되고, 주식도 입고됩니다."
84,"청약 취소하면 청약 증거금은 출금 가능한 예수금으로 들어오니, 바로 출금 가능합니다."
85,"환불일에는 배정 후 남는 금액만 환불됩니다. 청약 수수료가 있는 경우, 청약 수수료가 차감되어 환불됩니다. "
86,"20일 제한이 걸리는 증권사들도 있고, 제한없이 만들어지는 증권사들도 있습니다. 여러 개 증권 계좌를 만드셔도 상관 없습니다."
87,"청약 배정이 많이 될수록 좋지만, 1주만 되어도 좋은 것입니다. "
88,환불금 입금 계좌를 미신청으로 입력하셨다면 환불금은 원래 주식 계좌로 입금됩니다.
89,환불금 계좌를 미신청 하셨으면 기존 주식 계좌로 환불일에 환불이 됩니다.
90,청약 신청일 둘째 날에 청약해도 전혀 불이익이 없습니다. 오히려 둘째 날에 하시는 게 경쟁률을 볼 수 있기 때문에 유리할 수 있습니다. 
91,청약 기간 내에만 청약하시면 됩니다. 
92,최소 청약 단위 이상 청약 신청해도 균등 배정 대상자입니다.
93,한 사람 당 증권사 한 곳만 청약 가능합니다.
94,중복으로 청약하셨다면 처음 신청했던 증권사에서 주식이 배정됩니다.
95,중복 청약은 불가합니다. 청약을 취소하고 하나의 증권사에만 다시 신청하시는 것을 추천드립니다.
96,증권사에 배정된 균등배정 물량 이하의 청약 건수가 접수된다면 모든 청약자가 1주 이상 배정받게 됩니다.
97,"균등 배정 후 잉여 주식이 남을 경우, 잉여 주식은 청약자들에게 랜덤으로 배정이 됩니다."
98,공모주 투자를 하실 때 당연히 원금을 잃는 경우도 있습니다. 공모주가 상장하고 공모가보다 낮게 거래되는 경우도 많이 있습니다.
99,배정된 금액을 제외한 나머지 금액은 청약하신 계좌로 전액 환불됩니다.
100,증거금을 많이 청약할수록 비례 배정으로 더 많은 물량을 배정받을 수 있습니다.
101,"비례 배정은 비례 배정 경쟁률에 따라 결정되며, 이 경쟁률은 증권사마다 서로 다릅니다."
102,청약 금액이 크시다면 비례배정으로 진행하시면 더 유리합니다.
103,환불일에는 배정된 금액 및 수수료를 제외한 금액을 청약하신 증권사 계좌로 모두 돌려받습니다.
104,공모주 같은 경우 많이 넣을수록 많이 받을 확률이 올라갑니다.
105,상장일에 시초가가 결정되고 그 전에 미리 정해지지 않습니다. 
106, 중개형 계좌로는 공모주 청약이 불가능합니다. 일반 종합계좌로 가능합니다.
107,환불금 은행 계좌를 신청하시지 않으셨다면 청약 신청하셨던 증권 계좌로 환불금이 입금됩니다.
108,공모주 청약 시 계좌의 돈이 즉시 증거금으로 잡혀 출금이 제한됩니다.
109,"청약 시작 전 기관들 대상으로 수요예측을 하는데, 그 때 기관들의 경쟁률이 높다는건 그 종목의 인기도가 높다는 것입니다. 즉, 기관 수요예측이 높을수록 좋은 종목일 확률이 높습니다."
110,"첫 날 공모주를 청약했는데, 청약 수량을 더하고 싶으시면 기존 청약을 취소하고, 다시 공모주 청약을 하셔야 합니다."
111,"주식 입고 계좌는 타인 계좌로 설정이 가능하지만, 양도 및 증여 등의 문제가 발생할 수 있습니다. 상장 당일에 신청 계좌로 입고됩니다."
112,"공모주 청약 후 증거금을 더 넣고 싶으시면, 청약 취소 후 다시 넣으시면 됩니다. "
113,"중복 청약을 하게 된 경우, 처음 접수된 것만 유효하고 나머지는 취소됩니다. "
114,"앱으로 가족들 증권계좌에 접속해서 공모주 청약하시려면 각각의 증권용 공동인증서로 로그인 하셔야 합니다. 모바일인증서는 본인명의 휴대폰에만 등록 가능하고, 간편인증은 1기기당 1개밖에 등록이 안됩니다. 이체와 마찬가지로 청약도 인증로그인이 가능해야 하기 때문에 공동인증서로 로그인하셔서 진행하셔야 합니다."
115,"가족 구성원이 모두 청약에 참여하실 때는, 최소금액으로 가족인원들이 각각 균등배정을 노리시는 게 더 많이 배정 받을 수 있을 것으로 예상됩니다."
116,청약 후 몇 주가 배정되었는지는 청약 마감 4시 이후에 경쟁률을 통해서 예상 배정량을 추론할 수 있습니다.
117," 계좌 개설, 공모주 청약 신청까지 하신 후 돈을 넣어두셔야 정상적으로 청약이 되게 되며, 따로 비례배정 및 균등배정을 나누시어 청약하실 필요는 없습니다."
118,청약 일자에 돈을 입금하신 계좌로 반드시 공모주 신청을 해야합니다. 
119,종합위탁 계좌로 개설해야 공모주 청약이 가능합니다.
120,공모주 증거금률은 50%입니다.
121,신규 상장된 종목의 미수 증거금률은 증권사마다 다르며 증권사 자체 규정을 통해 결정됩니다.
122,공모주 배정 수량은 청약 결과 조회에 들어가시면 정확하게 몇 주가 배정되었는지 확인 가능합니다.
123,공모주 증거금률은 50%입니다. 신규 상장된 종목의 미수 증거금률은 증권사마다 다르며 증권사 자체 규정을 통해 결정됩니다.
124,"증거금은 증권회사에서 정하고, 공모가는 주관사에서 적정가를 산정하여 정합니다."
125,중복청약만 불가능합니다. 증권사 두 곳에서 청약을 하셨더라도 먼저 청약을 진행한증권사에서 청약이 됩니다. 
126,"공모주 청약 시 청약증거금은 출금가능한 현금으로 보유하셔야 합니다. 당사 온라인 화면에서 조회 시 계좌번호란을 클릭하시면 오른쪽에 계좌유형이 조회됩니다. 주식거래가 불가한 계좌는 주식거래 및 공모주 청약이 불가합니다. 종합 주식 이라고 표시된 계좌로 공모주 청약이 가능하오니 해당 계좌로 청약증거금을 입금하시고 확인해 주시기 바랍니다. 대면계좌개설 영업점 방문을 통한 계좌개설을 통해 개설된 계좌의 경우, 청약개시일 전일까지 개설된 계좌에 대해서만 청약이 가능합니다. 다만 온라인 은행 연계 등 비대면 계좌개설을 통해 개설된 계좌는 청약 기일 내 개설된 경우에도 청약 참가가 가능합니다."
127,증권사가 보유한 균등배정 물량만큼 배정한 후 나머지 물량은 비례배정입니다. 청약하신 금액만큼 자동으로 균등 및 비례 배정되니 고민 안 하셔도 됩니다.
128,공모주는 은행 계좌로는 청약이 안 되고 증권 계좌에 돈을 입금하여 청약을 해야합니다.
129,증권사 계좌는 많이 만들어도 불이익은 없습니다. 공모주 청약이 목적이시라면 많이 만들어 놓는 게 좋습니다. 왜냐하면 공모주 청약 가능 증권사가 매번 조금씩 다르고 중복 청약이 안 되는 상황이기 때문입니다. 
130,미래에셋 앱 청약 배정내역 화면에서 균등배정 주식 수 확인이 가능합니다.
131,중개형 계좌에서도 신규 종목의 청약이 가능합니다. 당연히 증거금은 들어있어야 합니다.
132,공동인증서는 타기관 연결하셔서 사용하실 수 있기에 1개만 발급하시면 됩니다. 
133,당일 개설을 해도 신청이 가능한 증권사도 있고 신청을 못하는 증권사도 있습니다.
134,청약일 전까지 계좌개설하시면 청약신청 가능합니다.
135,"주식에는 무조건이라는 전제조건은 없습니다. 공모주는 상장 후 떨어질 수 있지만, 관심이 많고 매수세가 몰리면 따상 또는 따따상 갈 수도 있습니다."
136,요즘에는 비대면 계좌 개설이 우대혜택이 더 많으니비대면 계좌 개설을 추천드립니다.
137,주식을 처음 할때는 우량주에 넣는 것이 좋다고 생각됩니다. 
138,증권 계좌를 만들고 20영업일 이후에 통장 개설이 가능합니다. 공휴일이 있어서 거의 한달 뒤라고 생각하시면 됩니다. 단 삼성증권 키움증권 유진투자증권 한화투자증권 이베스트 등 5개 증권사는 20일 제한이 없습니다.
139,대신증권과 하이투자증권은 청약기간 중 개설한 계좌로 청약이 불가능합니다.
140,공모주 주관 증권사별로 경쟁률이 다르기 때문에 같은 돈으로 청약을 신청했어도 배정받는 수량이 달라질수 있습니다.
141,주식거래 종합위탁으로 계좌개설을 하셔야 주식 거래가 가능하고 공모주 참여도 가능합니다.
142,계좌 개설하려면 본인이 직접 지점을 방문 또는 스마트폰으로 비대면계좌를 개설해야합니다
143,공모주청약은 지점 내방해서도 청약신청이 가능하지만온라인에서 하는 것 보다 수수료가 비쌉니다.
144,환불일날 환불이 됩니다. 환불일을 선택할 수는 없습니다. 
145,"신청 단계에서 비례 또는 균등을 고르는 건 아니고, 청약 신청하면 알아서 50%는 균등, 나머지 50%는 비례로 들어갈 겁니다. 예를 들어, 청약 증권사가 20만 주를 배정받았다면, 10만 주는 비례, 10만 주는 균등입니다."
146,공모주가 따블로 시작할지 안 할지는 상장날 시장에서 보실 수 있습니다. 
147,공모주 청약은 선착순이 아닙니다. 
148,예전엔 중복청약이 가능했지만 지금은 불가능합니다. 처음 공모주에 참여한 증권사만 청약이 되십니다. 
149,"청약이 배정되었다면, 배정 받으신 주식 및 수수료를 뺀 나머지 금액이 환불됩니다."
150,예전엔 중복으로 청약이 가능했는데요. 지금은 불가능합니다.
151,주식 계좌로 입금하셔야 합니다. 청약 기간에만 넣어두시고 청약을 하시면 됩니다.
152,주식 계좌에 증거금을 넣고 청약일에 청약 신청을 하면 됩니다. 청약일에 하면 서버가 문제 있을 경우가 있어서 미리 넣어놓는 것이 좋습니다. 
153,환불금 계좌 미지정 시 청약했던 계좌로 환불됩니다. 
154,기관 수요예측 경쟁률이 천 단위 이상 이라면 흥행이 어느정도 보장이 되는 것 같습니다.
155,비례 배정은 돈 많이 넣는 사람이 많이 가져가는 구조입니다.
156,"회사가 상장하는 경우 상장하는 회사의 주식을 공모가에 살 수 있는 기회를 주는데, 이를 '공모주청약'이라고 합니다. 회사가 우량하고 사업 전망이 좋은 경우에 상장하고 나면 공모가 보다 높은 가격에 주가가 형성되어 공무주 청약을 받은 사람은 공모가에 사서 높은 가격에 팔 수 있으므로, 그 차이의 이익을 남길 수 있습니다."
157,"빨리 청약한다고 해서 더 배정해 준다거나 그런 것은 없습니다. 따라서, 아무래도 증거금이 1일 더 덜 묶이도록 하기 위해서는 둘째 날에 청약하시는 것이 좀 더 유리합니다."
158,"환불금 입금 계좌는 변경이 가능합니다. 하지만, 본인 명의로 된 계좌만 설정이 가능합니다."
159,공모주 청약자격은 일반과 우대로 나누어 집니다 온라인 매체 청약 시 우대 자격 요건을 적용하게 됩니다.
160,"신한금융투자, 미래에셋증권, 하나금융투자는 청약 당일까지 계좌를 개설해도 참여할 수 있습니다."
161,공모주 청약은 출금가능한 돈으로 청약 가능하십니다.
162,청약은 출금가능한 예수금으로만 가능합니다.
163,"청약한 공모주에 추가적으로 더 금액을 넣고 싶다면, 취소하고 다시 청약하시면 됩니다."
164,중계형 계좌로도 청약이 가능합니다. 
165," 공모주라고 모두 수익을 주는것이 아니고, 수익을 줄만한 인기있는 공모주는 배정을 적게 받고 받은것도 시가에 따라서 수익은 모두 천차만별입니다."
166,거래 수수료는 사고 팔 때 항상 발생합니다.
167,공모주 청약 시 해당 증권사의 공동인증서를 등록해야 합니다. 유료 인증서는 전 증권사 사용이 가능합니다.
168,공모주를 하시려면 어차피 당첨되고 남은 금액은 반환되기 때문에 많은 금액을 청약하실수록 좋습니다.
169,공모주 상장일 시간은 다 똑같은 장 오픈 시간인 9시입니다. 
170,공모주 청약을 하기 위해서는공모청약 주관사인 해당 증권사 계좌에 해당 금액을 넣고 청약을 진행하시면 되겠습니다.
171,아예 배정이 안되면 공모주 청약 수수료 차감되지 않습니다.
172,청약에 당첨이 되지 않으면 수수료가 나가지 않습니다. 청약에 당첨시에만 수수료가 나갑니다.
173,공모주 청약시 하나도 배정되지 않으면 수수료는 0원입니다. 아예 나오지 않으세요. 환불일에 모든 금액을 돌려줍니다.
174,증권은 계좌개설만 미리 해두시면 공모주 청약 가능하십니다.
175,"1주도 배정 받지 못하면 공모주 청약 수수료는 떼가지 않습니다. 증권사별로 수수료 차이가 있고, 같은 증권사라도 소위 거래 기간 등에 따라 수수료를 차등 적용하는 곳도 있습니다."
176,공모주가 배당되지 않으면 환불해드립니다.
177,한 증권사로만 공모주 청약 신청이 가능합니다.
178,공모주는 주관하거나 인수하는 증권사에서만 청약이 가능합니다.
179,공모주 청약 후 상장일에 주식이 들어옵니다. 상장일에 입고되면 당일에 바로 매도할 수 있습니다. 
180,공모주의 경우에 상장일 당일에 잔고로 들어옵니다. 상장일에 바로 매도 가능하십니다.
181,바로 출금 가능한 예수금으로만 청약 가능합니다. 어제 또는 오늘 주식을 매도한 금액으로는 청약 못 합니다.
182,공모주 청약은 은행계좌가 아닌 증권사계좌를 만들어야 합니다.
183,"테마주는 같은 이유로 분류되는 색터를 말합니다. 예를 들어, 2차전지 관련주 또는 삼성스마트폰 관련주가 있습니다."
184,"환불일이란 환불금이 입금되고 공모주의 배정이 최종 확정되는 날이고, 매도는 상장일부터 가능합니다."
185,공모주는 상장일에 매도하는 게 가장 좋습니다.
186,중복청약 안 됩니다. 한 곳만 정해서 청약하시기를 추천드립니다.
187, 공모주 청약의 경우 중복 청약이 불가능하기 때문에 마지막날 오후 3시 쯤 경쟁률 보시고 청약하시면 좋습니다. 
188,기관 수요예측은 얼마나 기관들이 청약을 할건지 예측한다는 뜻입니다.
189,증거금은 공모주를 신청할 수 있는 날까지는 입금되어 있으면 됩니다.
190,청약 기간에 신청과 동시에 입금해야합니다 계좌에 돈 있어야 청약 가능합니다.
191,공모한 주식은 상장일에 해당 계좌로 들어옵니다. 공모주 매도는 상장일 당일부터 가능합니다.
192,"용돈은 증여세 과세가 되지 않습니다. 하지만, 용돈이여도 적금과 같이 예금되는 경우에는 증여에 해당합니다."
193,공모주 상장일 날 시장가로 매도하면 매도 후 영업일 기준 이틀 후에 출금하실 수 있습니다.
194,사실상 미국은 개인 투자자들에게 공모주 청약 참여의 기회를 주지 않습니다. 이렇기 때문에 우리나라 개인 투자자들이 미국 공모주에 청약하는 것도 사실상 불가능하다고 볼 수 있습니다. 펀드 등을 통한 간접투자는 관련 상품이 있다면 가능할 것입니다.
195,"8시 30분 부터 9시까지는 장전 시간외 가상 거래로 실제 거래가 일어나는 것이 아닙니다. 당일 시초가는 9시에 결정이 되고, 실제 거래 또한 9시에 시작이 됩니다. 단지 8시 30분부터 받은 예약 매수, 예약 매도 주문을 바탕으로 지속적으로 예상가가 변동이 되다가 9시 장시작과 동시에 마지막으로 거래된 가격이 시초가로 결정이 되는 것입니다."
196,08시 30분 부터 09시까지는 미리 매도는 불가능합니다. 가격을 설정해서 주문은 걸어 놓으실 수 있습니다. 공모주에 참여 하셨으니 09시에 주가 흐름을 보시면서 매도하시는게 좋습니다.
197,비례 배정을 받기 위해 청약 주수를 많이 넣으면 균등은 자동으로 신청이 됩니다. 
198,"타사대체 출고를 신청하면 주식이 이동이 가능합니다. 단, 상장일에 8시경에 배정된 주식이 계좌로 들어오고, 타 증권사로 이체하는데 시간이 조금 걸려서 파는 타이밍을 놓칠 수도 있습니다."
199,타 증권사로 옮길 수 있는데 상장일 전에 옮길 수 있는지는 확인해 보셔야 할 것 같습니다.
200," 주관하는 증권사에서만 청약이 가능하고, 매도도 주관사 증권 계좌를 통해서만 가능합니다."
201,공모주 참여를 하시려면 주관하는 증권사 계좌개설이 필요합니다. 주관을 하지 않은 증권사에서는 청약이 불가능합니다.
202, 공모주의 경우에는 주관사와 인수기관의 증권사로만 청약이 가능합니다.
203,증거금이 50%인 이유는 균등 방식이 생기면서 개인 투자자들도 부담없이 청약할 수 있게 하기 위함이기 때문입니다.
204,자동 매도라는 것은 없습니다.
